club,coHo,league,seasonStart,seasonEnd,season,wages
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1998,1999,19981999,36965e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,1999,2000,19992000,44791e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2000,2001,20002001,50002e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2001,2002,20012002,69999e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2002,2003,20022003,79517e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2003,2004,20032004,76874e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2004,2005,20042005,7701e4
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2005,2006,20052006,85389e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2006,2007,20062007,91588e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2007,2008,20072008,120607e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2008,2009,20082009,12312e4
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2009,2010,20092010,131689e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2010,2011,20102011,152915e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2011,2012,20112012,161688e3
Man United,https://beta.companieshouse.gov.uk/company/00095489/filing-history,ENG,2012,2013,20122013,179995e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2013,2014,20132014,217973e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2014,2015,20142015,203823e3
Man United,https://beta.companieshouse.gov.uk/company/02570509/filing-history,ENG,2015,2016,20152016,231224e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1993,1994,19931994,5551506
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1994,1995,19941995,5829391
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1995,1996,19951996,6425856
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1996,1997,19961997,72e5
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1997,1998,19971998,8794e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1998,1999,19981999,6887e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,1999,2000,19992000,9484e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2000,2001,20002001,18095e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2001,2002,20012002,24386e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2002,2003,20022003,35371e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2003,2004,20032004,37444e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2004,2005,20042005,37677e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2005,2006,20052006,34341e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2006,2007,20062007,36381e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2007,2008,20072008,54222e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2008,2009,20082009,82633e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2009,2010,20092010,133306e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2010,2011,20102011,173977e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2011,2012,20112012,201789e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2012,2013,20122013,233106e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2013,2014,20132014,205044e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2014,2015,20142015,193821e3
Man City,https://beta.companieshouse.gov.uk/company/02989498/filing-history,ENG,2015,2016,20152016,197584e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1992,1993,19921993,6248e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1993,1994,19931994,6815e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1994,1995,19941995,8358e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1995,1996,19951996,9078e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1996,1997,19961997,12057e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1997,1998,19971998,1698e4
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1998,1999,19981999,21699e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,1999,2000,19992000,26174e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2000,2001,20002001,25322e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2001,2002,20012002,36576e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2002,2003,20022003,38024e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2003,2004,20032004,34556e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2004,2005,20042005,33142e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2005,2006,20052006,40656e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2006,2007,20062007,43804e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2007,2008,20072008,52921e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2008,2009,20082009,60468e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2009,2010,20092010,67073e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2010,2011,20102011,91063e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2011,2012,20112012,90206e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2012,2013,20122013,96087e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2013,2014,20132014,1004e5
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2014,2015,20142015,100832e3
Tottenham,https://beta.companieshouse.gov.uk/company/01706358/filing-history,ENG,2015,2016,20152016,100042e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1992,1993,19921993,4518839
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1993,1994,19931994,4977646
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1994,1995,19941995,7431358
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1995,1996,19951996,10064560
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1996,1997,19961997,9787892
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1997,1998,19971998,13845069
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1998,1999,19981999,20241891
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,1999,2000,19992000,22336946
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2000,2001,20002001,26334e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2001,2002,20012002,29247e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2002,2003,20022003,29735e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2003,2004,20032004,32871e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2004,2005,20042005,3084e4
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2005,2006,20052006,36966e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2006,2007,20062007,38427e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2007,2008,20072008,4448e4
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2008,2009,20082009,49069e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2009,2010,20092010,54311e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2010,2011,20102011,58026e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2011,2012,20112012,63389e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2012,2013,20122013,63049e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2013,2014,20132014,69332e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2014,2015,20142015,77515e3
Everton,https://beta.companieshouse.gov.uk/company/00036624/filing-history,ENG,2015,2016,20152016,83985e3
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1992,1993,19921993,3359561
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1993,1994,19931994,3939584
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1994,1995,19941995,4068268
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1995,1996,19951996,4123679
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1996,1997,19961997,4776538
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1997,1998,19971998,5949696
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1998,1999,19981999,9585126
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,1999,2000,19992000,13192295
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2000,2001,20002001,15490317
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2001,2002,20012002,21069425
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2002,2003,20022003,25087622
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2003,2004,20032004,24699399
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2004,2005,20042005,26464599
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2005,2006,20052006,15798637
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2006,2007,20062007,14106468
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2007,2008,20072008,15603460
Southampton,https://beta.companieshouse.gov.uk/company/00053301/filing-history,ENG,2008,2009,20082009,11448073
